,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
63,Laura,Aguilera Ávila,Trabajo Social y Servicios Sociales,0,,
64,Silvia,Alonso Pérez,Ingeniería Eléctrica,0,,
66,Carmen,Ascanio Sánchez,Sociología,0,,
67,Carmen Marina,Barreto Vargas,Antropología Social,0,,
68,Inmaculada,Blasco Herranz,Historia Contemporánea,0,,
69,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,0,,
0,Pino Teresa,Caballero Gil,Ciencia de la Computación e Inteligencia Artificial,1,"Phishing and Spam Prevention Powered by Jetson NanoInternational Joint Conference: 17th International Conference on Computational Intelligence in Security for Information Systems (CISIS 2024) and 15th International Conference on EUropean Transnational Education (ICEUTE 2024) (Springer International Publishing AG), pp. 191-200",
2,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,2,"Condiciones de empleo y trabajoLecciones de derecho social de la Unión Europea (Tirant lo Blanch), pp. 353-390",
3,Dulce María,Cairós Barreto,Derecho del Trabajo y de la Seguridad Social,2,"Las nociones de sostenibilidad y transición justa en el ámbito de la protección jurídica de las personas trabajadorasCambio climático y derecho del trabajo: conceptualización y régimen jurídico (Aranzadi), pp. 21-73",
70,María Aránzazu,Calzadilla Medina,Derecho Civil,0,,
4,Bernardo Antonio,Candela Sanjuan,Dibujo,1,"El diseño como industria cultural y creativa. Un análisis de las políticas públicas en España (1990-2022)Discurso, materia y contextos : volver a pensar las artes, pp. 371-391",
5,Luis Javier,Capote Pérez,Derecho Civil,2,"Bancos de tierras y registro de la propiedadLas necesarias reformas legislativas de la nueva política agraria: especial referencia a Castilla y León (Colegio de Registradores de la Propiedad y Mercantiles de España), pp. 353-381",
6,Luis Javier,Capote Pérez,Derecho Civil,2,"Photographic works and mere photographs: A view of an old discussion from the point of view of new technologiesHarmonizing Intellectual Property Law for a Trans-Atlantic Knowledge Economy (Brill), pp. 395-411",
71,Lara,Carrascosa Puertas,Periodismo,0,,
72,Esperanza María,Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación,0,,
73,María José,Chivite de León,Filología Inglesa,0,,
74,Noemi,Cinelli,Historia del Arte,0,,
75,Olegaria del Pino,Cuesta Ojeda,Sociología,0,,
1,Celsa María,Cáceres Rodríguez,Trabajo Social y Servicios Sociales,1,"El Enfoque basado en los derechos humanos: posibilidades para Trabajo SocialTratado General de Trabajo Social, Servicios Sociales y Política Social (Tirant Humanidades), pp. 211-252",
7,Lucía,Dans Álvarez de Sotomayor,Derecho del Trabajo y de la Seguridad Social,1,"Libre circulación de trabajadoresLecciones de derecho social de la Unión Europea (Tirant lo Blanch), pp. 169-194",
76,Eva Rosa,Darias Beautell,Filología Inglesa,0,,
77,Coral Anaid,Díaz Cano,Filología Inglesa,0,,
78,Cristian,Díaz Hernández,Sociología,0,,
9,Matilde Candelaria,Díaz Hernández,Psicología Social,2,"La comunicación no sexista e inclusiva en el ámbito: estudio comparativoInvestigación para la mejora de las prácticas educativas desde una perspectiva holística (Dykinson), pp. 1741-1751",
8,Matilde Candelaria,Díaz Hernández,Psicología Social,2,"Estudio comparado de la percepción de la comunicación inclusiva en el alumnado universitarioInnovación docente e investigación en ciencias sociales, económicas y jurídicas: Desafíos de la enseñanza y aprendizaje en la educación superior (Dykinson), pp. 503-511",
12,Betty Coromoto,Estévez Cedeño,Sociología,5,"Introducción. Derechos humanos y globalización: ¿en memoria de nuestros amados derechos humanos?En defensa de los derechos humanos: riesgos, oportunidades y desafíos (Dykinson), pp. 19-33",
11,Betty Coromoto,Estévez Cedeño,Sociología,5,"Impact of Artificial Intelligence on Academic Integrity: Perspectives of Faculty Members in SpainArtificial Intelligence and Education: Enhancing Human Capabilities, Protecting Rights, and Fostering Effective Collaboration between Humans and Machines in Life, Learning, and Work (Octaedro), pp. 13-29",
14,Betty Coromoto,Estévez Cedeño,Sociología,5,"The Ethical and Epistemic Impact of Artificial Intelligence in EducationThe Education Revolution through Artificial Intelligence: Enhancing Skills, Safeguarding Rights, and Facilitating Human-Machine Collaboration (Octaedro), pp. 57-70",
10,Betty Coromoto,Estévez Cedeño,Sociología,5,"Fomentar la colaboración de los futuros maestros/as en espacios virtualesEmpoderando el futuro: educación y desarrollo en la Agenda 2030 (Dykinson), pp. 8-17",
13,Betty Coromoto,Estévez Cedeño,Sociología,5,"Redes sociales y construcción de la masculinidad entre los jóvenes. Un análisis desde la antropología de la educaciónHombres en el siglo XXI. Análisis críticos de las masculinidades (Titant Editorial), pp. 169-190",
15,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,3,"El envejecimiento activo: : La edad avanzada, el acceso a la jubilación y condiciones de seguridad y salud laboralTrabajo, edad y pensiones de jubilación: Comunicaciones del XXXIV Congreso Nacional de la Asociación Española de Derecho del Trabajo y de la Seguridad Social (Ministerio de Trabajo y Economia Social. Subdirección General de Informes Recursos y Publicaciones), pp. 287-305",
16,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,3,"La perspectiva de género:: auténtica clave de bóveda para garantizar la seguridad y salud de las trabajadorasLas ""mareas"" de la igualdad en el Derecho del Trabajo y de la Seguridad Social (Bomarzo), pp. 53-89",
17,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,3,"La protección de la salud reproductiva en las relaciones de trabajoLa redimensión de la salud laboral con perspectiva de género (Atelier Llibres Jurídics), pp. 249-280",
79,Natividad,Garrido Rodríguez,Lógica y Filosofía de la Ciencia,0,,
80,Laura Sabina,González Carracedo,Historia Moderna,0,,
81,Dulce María,González Doreste,Filología Francesa,0,,
18,Isabel,González Díaz,Filología Inglesa,1,"Emma Goldman, Djuna Barnes las redes de aguafiestas en tiempos de la Nueva Mujer(Re)escribiendo el pasado: Narrativas femeninas (neo)victorianas ante tiempos de cambio y crisis (Universidad de Valencia = Universitat de València), pp. 47-67",
19,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,5,"Alfabetización digital co-educativa inclusiva en la educación infantilInfancia y transformación digital de la educación: miradas diversas (Dykinson), pp. 113-124",
20,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,5,"Blended Learning for Teacher Training in Computational Thinking and Educational RoboticsLecture Notes in Educational Technology (Springer Science and Business Media Deutschland GmbH), pp. 663-670",
22,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,5,"Trends on Gamification, Generative AI, Multidisciplinary Technological Resources, Engineering Education, New Trends in Mechatronics, Diversity Gap in STEM, Laboratories in STEM Education at TEEM 2023Lecture Notes in Educational Technology (Springer Science and Business Media Deutschland GmbH), pp. 3-17",
23,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,5,"Unplugged Versus Plugged Gamification – A Comparative Study in Higher Education on Engagement, Motivation and Teachers’ PerceptionLecture Notes in Educational Technology (Springer Science and Business Media Deutschland GmbH), pp. 93-102",
21,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,5,"Enhancing Digital Competence Acquisition in Older Adults Through GamificationLecture Notes in Educational Technology (Springer Science and Business Media Deutschland GmbH), pp. 84-92",
25,Teresa,González Pérez,Teoría e Historia de la Educación,3,"Las Maestras Rurales en Canarias a finales del siglo XXBalance y memoria de un siglo de educación rural en América Latina. Volumen II (Colegio de San Luis - INEHRM), pp. 179-199",
26,Teresa,González Pérez,Teoría e Historia de la Educación,3,"Visións estereotipadas na literatura infantil e xuvenilEducación, xénero e lectura : Conformar, reformar, transformar: Libro-Catálogo Exposición (Museo Pedagóxico de Galicia), pp. 62-65",
24,Teresa,González Pérez,Teoría e Historia de la Educación,3,"De España a México: Regina Lago García, pedagoga y feminista.México y el Caribe, espacios de proximidad más allá de las (Universidad Veracruzana, México), pp. 173-188",
29,María José,Guerra Palmero,Filosofía Moral,3,"Vulnerabilidad y precariedad. Antropología, ética y política para la comunicación socialVulnerabilidad y comunicación social : Fragilidad humana en la esfera pública (Tecnos), pp. 51-66",
27,María José,Guerra Palmero,Filosofía Moral,3,"Comunicación para la transición ecosocial: pensamientos y movimientos sociales: Conversando desde los territorios para transitarDiálogos para ecologizar la comunicación (Centro Internacional de Estudios Superiores de Comunicación para América Latina (CIESPAL)), pp. 103-140",
28,María José,Guerra Palmero,Filosofía Moral,3,"Introducción. Derechos humanos y globalización: ¿en memoria de nuestros amados derechos humanos?En defensa de los derechos humanos: riesgos, oportunidades y desafíos (Dykinson), pp. 19-33",
31,Judit,Gutiérrez de Armas,Historia Moderna,5,"El ""sueño"" de María Rosa Alonso noventa años después: patrimonios documentales en el Instituto de Estudios CanariosLos patrimonios de La Laguna: Volumen 2 (Instituto de Estudios Canarios), pp. 225-247",
32,Judit,Gutiérrez de Armas,Historia Moderna,5,"Entailment in the Canary Islands. State of the art and new perspectives of historical researchVINCULUM. Privilege, Memory and Perpetuity: Entails and Entailment in Europe, ca. 1300-1800 (Imprensa da Universidade de Coimbra), pp. 193-226",
33,Judit,Gutiérrez de Armas,Historia Moderna,5,"“Archivos situados” y memorias de familia en perspectiva de género: El libro de relaciones de la hacienda de Tenerife de Francisco Benítez de Lugo y Viña (1775)Los arcanos de la memoria familiar: usos y proyección del pasado en la sociedad española (1650-1850) (Dykinson), pp. 85-112",
34,Judit,Gutiérrez de Armas,Historia Moderna,5,"“No puede ser un buen Ciudadano, ni buen Vasallo el que no fuere buen hijo”. Discursos de masculinidad y prácticas de paternidad a través de la relación epistolar del V conde del Valle de Salazar y su hijoConflictos intergeneracionales y generaciones familiares en la España del Antiguo Régimen (Peter Lang)",
30,Judit,Gutiérrez de Armas,Historia Moderna,5,"""No puede ser un buen Ciudadano, ni buen Vasallo el que no fuere buen hijo"": discursos de masculinidad y prácticas de paternidad a través de la relación epistolar del V conde del Valle de Salazar y su hijoConflictos intergeneracionales y generaciones familiares en la España del Antiguo Régimen (Peter Lang), pp. 123-143",
82,Rosa María,Henríquez Rodríguez,Sociología,0,,
83,Débora Estefanía,Hernández Lorenzo,Trabajo Social y Servicios Sociales,0,,
35,José Ulises,Hernández Plasencia,Derecho Penal,1,"Una síntesis de la violencia de género: de la justificación a la erradicación""Liber amicorum"" en homenaje a la profesora Mercedes Alonso Álamo (Ediciones Universidad de Valladolid (EdUVa)), pp. 849-864",
84,María Beatriz,Hernández Pérez,Filología Inglesa,0,,
85,Marta Esther,Jiménez Jaén,Sociología,0,,
87,María del Carmen,Marrero Marrero,Filología Francesa,0,,
36,Adriana Fabiola,Martín Cáceres,Derecho Financiero y Tributario,1,"Los incentivos fiscales a la eficiencia energética de las edificaciones en el ordenamiento jurídico español: especial referencia al impuesto sobre la renta de las personas físicasDerecho, justicia y sostenibilidad ambiental (Aranzadi), pp. 269-311",
88,Matilde,Martín González,Filología Inglesa,0,,
37,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",1,"Violencia contra las mujeres: un problema de salud públicaLa violencia contra las mujeres desde las ciencias de la salud (Tirant Humanidades), pp. 23-39",
39,Laura María,Melián Chinea,Derecho del Trabajo y de la Seguridad Social,2,"Las cláusulas de jubilación forzosa en la negociación colectiva sectorialTrabajo, edad y pensiones de jubilación: Comunicaciones del XXXIV Congreso Nacional de la Asociación Española de Derecho del Trabajo y de la Seguridad Social (Ministerio de Trabajo y Economia Social. Subdirección General de Informes Recursos y Publicaciones), pp. 891-908",
38,Laura María,Melián Chinea,Derecho del Trabajo y de la Seguridad Social,2,"La negociación colectiva con perspectiva de género.: El plan de igualdad en la empresaLas ""mareas"" de la igualdad en el Derecho del Trabajo y de la Seguridad Social (Bomarzo), pp. 91-118",
89,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,0,,
90,María Eugenia,Monzón Perdomo,Historia Moderna,0,,
86,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,0,,
40,Yolanda,Peralta Sierra,Historia del Arte,1,"La otra Generación de los 70:: el patrimonio en femenino y las artistas de la Sala Conca (La Laguna, Tenerife)Los patrimonios de La Laguna: Volumen 2 (Instituto de Estudios Canarios), pp. 153-164",
42,María Inmaculada,Perdomo Reyes,Lógica y Filosofía de la Ciencia,2,"The Ethical and Epistemic Impact of Artificial Intelligence in EducationThe Education Revolution through Artificial Intelligence: Enhancing Skills, Safeguarding Rights, and Facilitating Human-Machine Collaboration (Octaedro), pp. 57-70",
41,María Inmaculada,Perdomo Reyes,Lógica y Filosofía de la Ciencia,2,"Impact of Artificial Intelligence on Academic Integrity: Perspectives of Faculty Members in SpainArtificial Intelligence and Education: Enhancing Human Capabilities, Protecting Rights, and Fostering Effective Collaboration between Humans and Machines in Life, Learning, and Work (Octaedro), pp. 13-29",
91,Grecy,Pérez Amores,Antropología Social,0,,
92,Elisa Juana,Pérez Rosales,Teoría e Historia de la Educación,0,,
43,José Antonio,Ramos Arteaga,Literatura Española,1,Hacia una academia neobarrosapr.Los artistas y el discurso gay (Servicio de Publicaciones),
47,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,4,"Salud sexual y reproductiva: Los nuevos derechos sociales para las mujeresLos Briefs de la Asociación Española de Derecho del Trabajo y de la Seguridad Social: Las claves de 2023 (Cinca), pp. 74-76",
44,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,4,"Cambio climático y migraciones laboralesCambio climático y derecho del trabajo: conceptualización y régimen jurídico (Aranzadi), pp. 359-393",
45,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,4,"El derecho a la salud laboral como derecho fundamental de las mujeres en el trabajoLa redimensión de la salud laboral con perspectiva de género (Atelier Llibres Jurídics), pp. 19-58",
46,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,4,"Esquirolage empresarial y derecho de huelga:Límites al poder de dirección en la empresaLibertad sindical, negociación colectiva y huelga: Homenaje al profesor Juan García Blasco (Boletín Oficial del Estado, BOE), pp. 545-550",
93,Nereida María,Rancel Rodríguez,Botánica,0,,
48,Elvira Carolina,Real Torres,Filología Latina,4,"Figuras de alteridad en la narrativa contemporánea: La reescritura del mito del licántropo en ""Lycaon"" de Guillermo TatoClasicismo e identidades contemporáneas (Los Libros de la Catarata), pp. 100-122",
51,Elvira Carolina,Real Torres,Filología Latina,4,"Mito y transgresión en la ficción televisiva: Carnival rowLa alteridad en la tradición grecolatina: Extranjería y barbarie (Sindéresis), pp. 99-112",
50,Elvira Carolina,Real Torres,Filología Latina,4,"Mito y transgresión en la ficción televisiva: Carnival RowLa alteridad en la tradición grecolatina: extranjería y barbarie (Editorial Sindéresis), pp. 99-112",
49,Elvira Carolina,Real Torres,Filología Latina,4,"La recepción feminista del mundo clásico Galatea, de Madeline MillerAvance en investigación sobre literatura: teoría y crítica (Dykinson), pp. 392-408",
52,Rodrigo Fidel,Rodríguez Borges,Comunicación Audiovisual y Publicidad,2,"La vulnerabilidad y su visibilización mediáticaVulnerabilidad y comunicación social : Fragilidad humana en la esfera pública (Tecnos), pp. 21-50",
53,Rodrigo Fidel,Rodríguez Borges,Comunicación Audiovisual y Publicidad,2,"Vulnerabilidad de la verdad en la comunicación socialVulnerabilidad y comunicación social : Fragilidad humana en la esfera pública (Tecnos), pp. 117-138",
56,Juan José,Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social,3,"La reforma del sistema de pensiones con perspectiva de géneroTrabajo, edad y pensiones de jubilación: Comunicaciones del XXXIV Congreso Nacional de la Asociación Española de Derecho del Trabajo y de la Seguridad Social (Ministerio de Trabajo y Economia Social. Subdirección General de Informes Recursos y Publicaciones), pp. 541-560",
55,Juan José,Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social,3,"La integración de la perspectiva de género en las recientes reformas del sistema de la Seguridad SocialLas ""mareas"" de la igualdad en el Derecho del Trabajo y de la Seguridad Social (Bomarzo), pp. 23-52",
54,Juan José,Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social,3,"La acción de los organismos internacionales para la defensa del trabajo decente frente al cambio climáticoCambio climático y derecho del trabajo: conceptualización y régimen jurídico (Aranzadi), pp. 75-104",
57,Sarai,Rodríguez González,Derecho del Trabajo y de la Seguridad Social,1,"La salud mental en el trabajo: desafíos de género asociados a la precariedad laboral y los riesgos psicosocialesLa redimensión de la salud laboral con perspectiva de género (Atelier Llibres Jurídics), pp. 171-210",
94,Elena,Rodríguez Naveiras,Metodología de las Ciencias del Comportamiento,0,,
58,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,4,"Cambio climático y acción sindicalCambio climático y derecho del trabajo: conceptualización y régimen jurídico (Aranzadi), pp. 225-266",
59,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,4,"Inreflexiones sobre la evolución y el momento presente de la igualdad de género en el mundo del trabajoLas ""mareas"" de la igualdad en el Derecho del Trabajo y de la Seguridad Social (Bomarzo), pp. 7-21",
60,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,4,"La legitimación ""sindical"" para negociar en la empresa: Entre la ley y la jurisprudenciaLibertad sindical, negociación colectiva y huelga: Homenaje al profesor Juan García Blasco (Boletín Oficial del Estado, BOE), pp. 359-364",
61,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,4,"Las dolencias derivadas del acoso laboral como contingencia profesionalCuestiones actuales en materia de Seguridad Social: libro homenaje al profesor Tortuero Plaza (Laborum), pp. 391-409",
62,María del Carmen,Rubio Armendáriz,Toxicología,1,"Cyanobacterial pigments: Pharmaceutical and nutraceutical applicationsPharmaceutical and Nutraceutical Potential of Cyanobacteria (Springer International Publishing), pp. 31-52",
65,Casilda,Álvarez Siverio,Filología Griega,0,,
