,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
0,Laura,Aguilera Ávila,Trabajo Social y Servicios Sociales,1,"Exploring social workers’ self-care in Spain: Strategies, barriers, and proposalsInternational Social Work",
1,Silvia,Alonso Pérez,Ingeniería Eléctrica,2,"Dust events characterization from visibility, trends and Dust Adversity Index in the Canary Islands for the period 1980–2022Heliyon, Vol. 10, Núm. 10",
2,Silvia,Alonso Pérez,Ingeniería Eléctrica,2,"Sharp increase in Saharan dust intrusions over the western Euro-Mediterranean in February–March 2020–2022 and associated atmospheric circulationAtmospheric Chemistry and Physics, Vol. 24, Núm. 7, pp. 4083-4104",
3,Carmen,Ascanio Sánchez,Sociología,2,"Diagnósticos conjuntos en políticas de igualdad: diversidades socioculturales y de gobernanza en universidades de las Islas Canarias y África noroccidentalRevista española de educación comparada, Núm. 45, pp. 21-45",
4,Carmen,Ascanio Sánchez,Sociología,2,"Editorial: Políticas de Igualdad de género en la Educación Superior. Universidades atlánticas y africanasRevista española de educación comparada, Núm. 45, pp. 11-20",
122,Carmen Marina,Barreto Vargas,Antropología Social,0,,
5,Inmaculada,Blasco Herranz,Historia Contemporánea,1,"Editorial. «Pensar el Género desde la Historia: propuestas y debates»Historia y Memoria, Núm. 28, pp. 11-20",
6,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,5,"Differences in socio-emotional competencies between high-ability students and typically-developing studentsFrontiers in Education, Vol. 9",
7,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,5,"Identification and service of high abilities in residential care institutions in TenerifeRevista Lusofona de Educacao, Vol. 61, Núm. 61, pp. 13-27",
8,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,5,"Propiedades psicométricas del YONI TASK en tres muestras hispanoamericanasRevista Argentina de Ciencias del Comportamiento ( RACC ), Vol. 16, Núm. 3, pp. 207-208",
9,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,5,"The Effects of Attitudes towards Mathematics and STEM Education on High-Ability Students and a Community SampleEducation Sciences, Vol. 14, Núm. 1",
10,María de África,Borges del Rosal,Metodología de las Ciencias del Comportamiento,5,"Training of health science professors to support the education of high-ability university studentsFrontiers in Education, Vol. 9",
